127.0.0.1 - - [13/Aug/2019:17:28:26 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:28:32 +0530] "GET /student_management/Login HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:28:34 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:28:45 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:28:57 +0530] "GET /student_management/SearchResult?Fetch=dhruv HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:30:54 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:31:07 +0530] "GET /student_management/OperationForm?Id=Add HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:37:54 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:37:58 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:37:59 +0530] "GET /student_management/OperationForm?Id=Add HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:38:27 +0530] "POST /student_management/OperationWithDatabase HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [13/Aug/2019:19:56:01 +0530] "POST /student_management/OperationWithDatabase HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Aug/2019:19:56:01 +0530] "GET /student_management/Login HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [13/Aug/2019:19:56:06 +0530] "POST /student_management/Check_User HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [13/Aug/2019:19:56:15 +0530] "POST /student_management/Check_User HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:17:55 +0530] "GET /student_management/SearchResult?Fetch=Active HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:17:59 +0530] "GET /student_management/SearchResult?Fetch=Deactive HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:18:08 +0530] "GET /student_management/OperationForm?Id=Add HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:18:38 +0530] "POST /student_management/OperationWithDatabase HTTP/1.1" 200 2745
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:19:44 +0530] "POST /student_management/OperationWithDatabase HTTP/1.1" 200 2997
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:19:55 +0530] "POST /student_management/OperationWithDatabase HTTP/1.1" 200 3249
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:01 +0530] "GET /student_management/OperationWithDatabase?OperationType=Delete&Id=7 HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:08 +0530] "GET /student_management/OperationForm?Id=6 HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:13 +0530] "GET /student_management/OperationWithDatabase?OperationType=Delete&Id=6 HTTP/1.1" 200 2744
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:20 +0530] "GET /student_management/OperationWithDatabase?OperationType=Delete&Id=8 HTTP/1.1" 200 2492
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:25 +0530] "GET /student_management/OperationForm?Id=Add HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:20:56 +0530] "POST /student_management/OperationWithDatabase HTTP/1.1" 200 2746
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:21:04 +0530] "GET /student_management/OperationForm?Id=9 HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:25:25 +0530] "GET /student_management/OperationForm?Id=9 HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [13/Aug/2019:20:25:27 +0530] "GET /student_management/OperationForm?Id=9 HTTP/1.1" 200 807
